InstitutionCode,CollectionCode,CollectionName
"University of Guelph, Centre for Biodiversity",BIOUG,The Centre for Biodiversity Genomics - University of Guelph
fieldguide,LepSnap,LepSnap Observations
CONABIO,CAIM,"Actualización de la Colección de Artrópodos con importancia médica (CAIM), Laboratorio de Entomología, InDRE"
CONABIO,ECO-CH,"Lepidoptera (Rhopalocera y Heterocera) de áreas prioritarias para la conservación en la Península de Yucatán, con registros de adultos y estados inmad"
CONABIO,CLMZ,"Computarización y actualización de la curación de la Colección de Lepidóptera del Museo de Zoología ""Alfonso L. Herrera"" y su base de datos MARIPOSA. "
CONABIO,LSPG,Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj
CONABIO,UADY,Biodiversidad de la apifauna de Yucatán
CONABIO,CMZ,"Computarización de la colección de abejas (Hymenoptera: Apoidea) del Museo de Zoología Alfonso L. Herrera, de la Facultad de Ciencias de la UNAM"
CONABIO,CMCL,"Repatriación de datos de los lepidópteros depositados en la Colección del McGuire Center for Lepidoptera and Biodiversity, Florida Museum of Natural H"
CONABIO,RTP120,"Inventario de las mariposas de la selva baja de las sierras de Taxco-Huautla, Guerrero (RTP120)"
CONABIO,CCE,Catálogo de insectos de la colección del Centro de Entomología
CONABIO,CFS,Computarización de abejas de la colección entomológica de la Frontera Sur
CONABIO,CLQR,Colección de referencia de vectores de Leishmania spp (causante de Leshmaniasis cutánea localizada) de la Península de Yucatán y un estudio preliminar
LEPSOC,LEPSOC,The Lepidopterists' Society Season Summary
UAM,KWP,KWP Lepidoptera Collection (Arctos)
CONABIO,CCNBM,Computarización de la Colección Nacional de insectos Dr. Alfredo Barrera Marín del Museo de Historia Natural de la Ciudad de México
CONABIO,FIC,Fauna de insectos sociales del estado de Campeche
CONABIO,CRLN,"Catálogo y recopilación de datos científicos de los lepidópteros nocturnos de México, pertenecientes a cinco familias"
CONABIO,RCQR,"Riqueza específica y biodiversidad de microartrópodos edáficos de la Isla de Cozumel, Q. Roo"
CONABIO,IRSG,"Inventario de los ropaloceros (Lepidoptera) de la Sierra Gorda, estado de Querétaro, México"
CONABIO,RBTC,"Diversidad de abejas (Hymenoptera: Apoidea) de la Reserva de la Biosfera El Triunfo, Chiapas"
CONABIO,DIBT,"Diversidad de ocho grupos de insecta (Odonata, Lycidae, Phengodidae, Lampyridae, Cantharidae, Cerambycidae, Syrphidae y Vespidae) en tres regiones con"
CONABIO,IHPM,Inventario de Hymenóptera; parasítica en México
CONABIO,BST,"Biodiversidad de la Sierra Tarahumara. Lepidoptera: Mimallonoidea, Lasiocampoidea, Bombycoidea y Pyraloidea"
CONABIO,ODV,Odonata de Veracruz
CONABIO,ILSH,Inventario de la lepidopterofauna de la Sierra de Huautla
CONABIO,CISC,Colección de insectos agrícolas del proyecto diversidad en sistemas de cultivos
CONABIO,CEZUG,"Scarabaeoidea y colección de tipos de la colección entomológica del Centro de Estudios en Zoología, Universidad de Guadalajara"
CONABIO,BGBD,Proyecto para compatibilizar el inventario de biota edáfica BGBD con el Sistema Nacional de Información sobre Biodiversidad
CONABIO,CSAB,Primera fase de actualización de la Colección de Siphonaptera Alfredo Barrera del Museo de Zoología Alfonso Herrera
CONABIO,EMBN,Escarabajos y moscas de los bosques de niebla del sureste mexicano (Coleoptera: Scarabaeoidea; Diptera: Syrphidae y Calliphoridae)
SDSU,SMIRC,"South Dakota State University, The Severin-McDaniel Insect Research Collection"
ASU,ASULOB,Arizona State University Lois B. O'Brien Collection
KKIC,KKIC,Kojun Kanda Insect Collection
WIS-IH,WIRC,Wisconsin Insect Research Collection
BROW,BCIC,The Broward College Insect Collection
DMNS,Ento,Denver Museum of Nature & Science - Entomology
UCF,UCFC,The University of Central Florida Collection of Arthropods
HSMNCH,BPBM,Bernice P. Bishop Museum
MNA,WACA,Museum of Northern Arizona - Walnut Canyon National Monument Collection
NAUF,NAUF5F,NAU Forest Entomology Collection
THA,Bark Beetles,Bark and Ambrosia Beetles of the New World
WVW,ENT,West Virginia Wesleyan College Katharine B. Gregg Orchid Pollinator Collection
GUAM,ESUG,University of Guam Insect Collection
VecB,Aggregate,VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens)
ASU,Plants,Arizona State University Vascular Plant Herbarium
ARIZ,,University of Arizona Herbarium
ASC,,Deaver Herbarium (Northern Arizona University)
NAVA,,Navajo Nation Herbarium
DES,,Desert Botanical Garden Herbarium
GCNP,,Grand Canyon National Park
USON,,Herbario de la Universidad de Sonora
UCR,,"University of California, Riverside Plant Herbarium"
ASU,Pollen,Arizona State University Pollen Collection
ASU,Seeds,Arizona State University Fruit and Seed Collection
CCH,,Cochise County Herbarium
USFS,TEUI,US Forest Service Southwestern Region
UNM,,University of New Mexico Herbarium
NMC,,New Mexico State University Herbarium
NMCR,,New Mexico State University Range Science
ENMU,,Eastern New Mexico University Herbarium
SNM,,Dale A. Zimmerman Herbarium at Western New Mexico University
CS,,Colorado State University Herbarium
RM,,Rocky Mountain Herbarium
MABA,Plants,Madrean Archipelago Biodiversity Assessment Observations
SEINet,,General Research Observations
SJNM,,San Juan College Herbarium
SWRS,,Southwestern Research Station
BRY,V,"Brigham Young University, S. L. Welsh Herbarium"
UVSC,,Utah Valley University Herbarium
EPHR,,Snow College Herbarium
USU,PRI,Utah State University Eastern
Sonoran Atlas,,Sonoran Desert Plants: An Ecological Atlas
NPS,MEVE,Mesa Verde National Park
RMBL,,Rocky Mountain Biological Laboratory
DBG,KHD,Kathryn Kalmbach Herbarium
PUA,,Pacific Union College Hebarium
USUUB,,Utah State University Uintah Basin
WSC,,Western State Colorado University
USFS,BNFH,Bitterroot National Forest Herbarium
ENLC,,Eastern Nevada Landscape Coalition
SUU,,Southern Utah University
TSJC,,Trinidad State Junior College
MESA,,"Colorado Mesa University, Walter A. Kelley Herbarium"
PUSC,,Colorado State University - Pueblo
SWANER,,Swaner Preserve and EcoCenter
NPS,FLFO,Florissant Fossil Beds National Monument
USFS,GILA,Gila National Forest Herbarium
HNT,,Huntington Botanical Gardens Herbarium
MWI,,"Western Illinois University, ​R. M. Myers Herbarium"
SSLP,,"Shrub Science Laboratory, Rocky Mountain Research Station"
BHSU,BHSC,Black Hills State University Herbarium
EIU,,Stover-Ebinger Herbarium (Eastern Illinois University)
ISC,,Ada Hayden Herbarium (Iowa State University)
NEBK,,University of Nebraska at Kearney Herbarium
WASH,,Washburn University
SDSU,,San Diego State University
JEMEZ,,Jemez Mountain Herbarium
KNOX,,Knox College Herbarium
MISU,,Minot State University
APCR,,Arkansas Tech University Herbarium
AUA,,"Auburn University, John D. Freeman Herbarium"
ISTC,,"University of Northern Iowa, Grant Herbarium"
DSUND,,Dickinson State University Herbarium
HWBA,,Benedictine College Herbarium
TAC,,Tarleton State University Herbarium
RENO,V,University of Nevada Herbarium
ARCH,herbarium,Archbold Biological Station
DEK,,Northern Illinois University Herbarium
SCFS,,Sagehen Herbarium
APSC,,Austin Peay State University Herbarium
NCZP,,North Carolina Zoological Park
