InstitutionCode,CollectionCode,CollectionName
GSMNP,,Great Smokey Mountains National Park
TRT,,Green Plant Herbarium
GPSC,NA,Gregory P. Setliff Collection
GPSC,,Gregory P. Setliff Collection - Kutztown University
HGCRL,,Gulf Coast Research Laboratory Herbarium
HIBG,,Harriet Irving Botanical Gardens
SFSU,,Harry D. Thiers Herbarium at San Francisco State University
FH,,"Harvard University, Farlow Herbarium"
ASU,ASUHIC,Hasbrouck Insect Collection
HXC,,Hendrix College Herbarium
HCIB,,Herbario Anetta Mary Carter
CDS,Lichens,Herbario de Líquenes de la Fundación Charles Darwin Foundation para las Islas Galápagos
HUAA,,Herbario de la Universidad Autónoma de Aguascalientes
BCMEX,,Herbario de la Universidad Autónoma de Baja California
QMEX,,Herbario de la Universidad Autónoma de Querétaro
UAZ,,Herbario de la Universidad Autónoma de Zacatecas
IBUG,,Herbario de la Universidad de Guadalajara
USON,,Herbario de la Universidad de Sonora
JAAA,,Herbario de la Universidad Juárez del Estado de Durango
INEGI,,Herbario del Instituto Nacional de Estadística Geografia e Informática
CIIDIR,,Herbario del Instituto Politécnico Nacional-Unidad Durango
HJBC,,Herbario del Jardín Botánico Culiacán
SLPM,SLPM,"Herbario Isidro Palacios, Universidad Autónoma de San Luis Potosí"
UAS,,Herbario Jesús González Ortega
HCIAD,,Herbario Regional CIAD-Mazatlán
RET,,Herbarium Amanitarum Rooseveltensis
UWAL,lichens,Herbarium of the University of West Alabama
BPBM,BISH,Herbarium Pacificum
OAS,,"Herbarium, Biodiversity Centre of Ontario"
QUE,,Herbier du Québec (QUE) – Collection de plantes vasculaires
QFA,,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires
CSCN,,High Plains Herbarium at Chadron State College
HBSH,,Highlands Biological Station Herbarium
HLSD,,Hillsdale College Herbarium
HCHM,,Hope College
GMS,,Hopkins Marine Station
HPC,,Howard Payne University Herbarium
HUDC,,Howard University Herbarium
HSC,,Humboldt State University
HNT,,Huntington Botanical Gardens Herbarium
HUNT,,Huntington University Herbarium
UKY-HIC,HIC,Hymenoptera Institute Collection
IDS,,Idaho Museum of Natural History
ILLS,,Illinois Natural History Survey
ILLS,,Illinois Natural History Survey 
ILLS,F,Illinois Natural History Survey - Fish
ILLS,M,Illinois Natural History Survey - Mollusks
INHS,INHSIC,Illinois Natural History Survey Insect Collection
iNaturalist,,iNaturalist Observations
iNat,,iNaturalist Research Grade Observations
iNaturalist,Observations,iNaturalist Research-grade Observations
BPI,,Index of the C.G. Lloyd Mycological Collection Specimens Housed at BPI
IASD,,Indian Ascomycetes Fungal Database
ILD,,Indian Lichen Database
IMUD,,Indian Marine Fungi Database
IMUD,,Indian Mushroom Database
IMUD,,Indian Myxomycetes Database
IRFD,,Indian Rust Fungal Database
IND,,Indiana University
IND,,Indiana University Herbarium
IND,,Indiana University Herbarium (Deam Herbarium)
JEF,,Indiana University Southeast Herbarium
UNHP,NA,Insect and Arachnid Collections
UANH,NA,Insect Collection
AMNH,NA,Insect Collection
NA,NA,Insect Collection
HSMNCH,BPBM,Insect Collection
BROW,BCIC,Insect Collection
BUIC,NA,Insect Collection
NA,NA,Insect Collection
CSCA,NA,Insect Collection
CMNH,NA,Insect Collection
CHAS,ENT,Insect Collection
NA,NA,Insect Collection
CNHM,NA,Insect Collection
NA,NA,Insect Collection
CAES,NA,Insect Collection
CUIC,NA,Insect Collection
NA,NA,Insect Collection
DMNH,NA,Insect Collection
COA,NA,Insect Collection
NA,NA,Insect Collection
FSCA,NA,Insect Collection
NA,NA,Insect Collection
NA,NA,Insect Collection
FCDA,NA,Insect Collection
NA,NA,Insect Collection
HCTR,NA,Insect Collection
HNPH,NA,Insect Collection
HDOA,NA,Insect Collection
INHS,INHSIC,Insect Collection
ISMS,NA,Insect Collection
ISUI,NA,Insect Collection
NA,NA,Insect Collection
JTNM,NA,Insect Collection
KNWR,NA,Insect Collection
KKIC,KKIC,Insect Collection
NA,NA,Insect Collection
MAJC,MAJC,Insect Collection
LSU,NA,Insect Collection
NA,NA,Insect Collection
MNHM,NA,Insect Collection
NA,NA,Insect Collection
MNA,WACA,Insect Collection
NA,NA,Insect Collection
NA,NA,Insect Collection
LACM,LACMEC,Insect Collection
NA,NA,Insect Collection
NCSU,NA,Insect Collection
NA,NA,Insect Collection
ODA,NA,Insect Collection
PDA,NA,Insect Collection
NA,NA,Insect Collection
NA,NA,Insect Collection
RMBL,NA,Insect Collection
SSAC,SSAC,Insect Collection
NA,NA,Insect Collection
SNHM,NA,Insect Collection
SCSM,NA,Insect Collection
SIUC,NA,Insect Collection
NA,NA,Insect Collection
SWRS,NA,Insect Collection
NA,NA,Insect Collection
TAMU,TAMUIC,Insect Collection
UA,UAIC,Insect Collection
GUAM,ESUG,Insect Collection
